strain.id	host
ERR2778628_1	Hospitalised patient
ERR2778629_1	Non-hospitalised person
ERR2778630_1	Hospitalised patient
ERR2778631_1	Other
ERR2778632_1	Hospitalised patient
ERR2778633_1	Other
ERR2778634_1	Hospitalised patient
ERR2778635_1	Hospitalised patient
ERR2778636_1	Hospitalised patient
ERR2778637_1	Non-hospitalised person
ERR2778638_1	Hospitalised patient
ERR2778639_1	Hospitalised patient
ERR2778640_1	Hospitalised patient
ERR2778641_1	Hospitalised patient
ERR2778642_1	Hospitalised patient
ERR2778643_1	Hospitalised patient
ERR2778644_1	Hospitalised patient
ERR2778645_1	Other
ERR2778646_1	Hospitalised patient
ERR2778647_1	Other
ERR2778648_1	Other
ERR2778649_1	Hospitalised patient
ERR2778650_1	Hospitalised patient
ERR2778651_1	Other
ERR2778652_1	Hospitalised patient
ERR2778653_1	Hospitalised patient
ERR2778654_1	Hospitalised patient
ERR2778655_1	Hospitalised patient
ERR2778656_1	Hospitalised patient
ERR2778657_1	Hospitalised patient
ERR2778658_1	Hospitalised patient
ERR2778659_1	Other
ERR2778660_1	Hospitalised patient
ERR2778661_1	Hospitalised patient
ERR2778662_1	Hospitalised patient
ERR2778663_1	Other
ERR2778664_1	Other
ERR2778665_1	Hospitalised patient
ERR2778666_1	Hospitalised patient
ERR2778667_1	Hospitalised patient
ERR2778668_1	Hospitalised patient
ERR2778669_1	Hospitalised patient
ERR2778670_1	Hospitalised patient
ERR2778671_1	Hospitalised patient
ERR2778672_1	Hospitalised patient
ERR2778673_1	Hospitalised patient
ERR2778674_1	Hospitalised patient
ERR2778675_1	Other
ERR2778676_1	Other
ERR2778677_1	Hospitalised patient
ERR2778678_1	Hospitalised patient
ERR2778679_1	Hospitalised patient
ERR2778680_1	Other
ERR2778681_1	Hospitalised patient
ERR2778682_1	Hospitalised patient
ERR2778683_1	Hospitalised patient
ERR2778684_1	Hospitalised patient
ERR2778685_1	Hospitalised patient
ERR2778686_1	Hospitalised patient
ERR2778687_1	Other
ERR2778688_1	Hospitalised patient
ERR2778689_1	Hospitalised patient
ERR2778690_1	Non-hospitalised person
ERR2778691_1	Hospitalised patient
ERR2778692_1	Hospitalised patient
ERR2778693_1	Other
ERR2778694_1	Other
ERR2778695_1	Hospitalised patient
ERR2778696_1	Other
ERR2778697_1	Hospitalised patient
ERR2778698_1	Hospitalised patient
ERR2778699_1	Hospitalised patient
ERR2778700_1	Hospitalised patient
ERR2778701_1	Hospitalised patient
ERR2778702_1	Hospitalised patient
ERR2778703_1	Hospitalised patient
ERR2778704_1	Other
ERR2778705_1	Other
ERR2778706_1	Hospitalised patient
ERR2778707_1	Hospitalised patient
ERR2778708_1	Hospitalised patient
ERR2778709_1	Other
ERR2778710_1	Hospitalised patient
ERR2778711_1	Hospitalised patient
ERR2778712_1	Hospitalised patient
ERR2778713_1	Other
ERR2778714_1	Other
ERR2778715_1	Non-hospitalised person
ERR2778716_1	Hospitalised patient
ERR2778717_1	Hospitalised patient
ERR2778718_1	Hospitalised patient
ERR2778719_1	Other
ERR2778720_1	Other
ERR2778721_1	Hospitalised patient
ERR2778722_1	Hospitalised patient
ERR2778723_1	Hospitalised patient
ERR2778724_1	Hospitalised patient
ERR2778725_1	Hospitalised patient
ERR2778726_1	Non-hospitalised person
ERR2778727_1	Hospitalised patient
ERR2778728_1	Hospitalised patient
ERR2778729_1	Hospitalised patient
ERR2778730_1	Hospitalised patient
ERR2778731_1	Hospitalised patient
ERR2778732_1	Hospitalised patient
ERR2778733_1	Hospitalised patient
ERR2778734_1	Hospitalised patient
ERR2778735_1	Hospitalised patient
ERR2778736_1	Hospitalised patient
ERR2778737_1	Hospitalised patient
ERR2778738_1	Hospitalised patient
ERR2778739_1	Hospitalised patient
ERR2778740_1	Other
ERR2778741_1	Other
ERR2778742_1	Hospitalised patient
ERR2778743_1	Hospitalised patient
ERR2778744_1	Hospitalised patient
ERR2778745_1	Hospitalised patient
ERR2778746_1	Hospitalised patient
ERR2778747_1	Hospitalised patient
ERR2778748_1	Non-hospitalised person
ERR2778749_1	Hospitalised patient
ERR2778750_1	Hospitalised patient
ERR2778751_1	Hospitalised patient
ERR2778752_1	Hospitalised patient
ERR2778753_1	Other
ERR2778754_1	Other
ERR2778755_1	Non-hospitalised person
ERR2778756_1	Hospitalised patient
ERR2778757_1	Hospitalised patient
ERR2778758_1	Non-hospitalised person
ERR2778759_1	Hospitalised patient
ERR2778760_1	Other
ERR2778761_1	Other
ERR2778762_1	Hospitalised patient
ERR2778763_1	Other
ERR2778764_1	Hospitalised patient
ERR2778765_1	Hospitalised patient
ERR2778766_1	Hospitalised patient
ERR2778767_1	Other
ERR2778768_1	Hospitalised patient
ERR2778769_1	Other
ERR2778770_1	Hospitalised patient
ERR2778771_1	Hospitalised patient
ERR2778772_1	Hospitalised patient
ERR2778773_1	Hospitalised patient
ERR2778774_1	Other
ERR2778775_1	Hospitalised patient
ERR2778776_1	Hospitalised patient
ERR2778777_1	Hospitalised patient
ERR2778778_1	Hospitalised patient
ERR2778779_1	Other
ERR2778780_1	Hospitalised patient
ERR2778781_1	Non-hospitalised person
ERR2778782_1	Hospitalised patient
ERR2778783_1	Hospitalised patient
ERR2778784_1	Hospitalised patient
ERR2778785_1	Hospitalised patient
ERR2778786_1	Hospitalised patient
ERR2778787_1	Non-hospitalised person
ERR2778788_1	Non-hospitalised person
ERR2778789_1	Hospitalised patient
ERR2778790_1	Other
ERR2778791_1	Hospitalised patient
ERR2778792_1	Hospitalised patient
ERR2778793_1	Hospitalised patient
ERR2778794_1	Hospitalised patient
ERR2778795_1	Hospitalised patient
ERR2778796_1	Hospitalised patient
ERR2778797_1	Hospitalised patient
ERR2778798_1	Hospitalised patient
ERR2778799_1	Hospitalised patient
ERR2778800_1	Hospitalised patient
ERR2778801_1	Other
ERR2778802_1	Non-hospitalised person
ERR2778803_1	Hospitalised patient
ERR2778804_1	Hospitalised patient
ERR2778805_1	Hospitalised patient
ERR2778806_1	Hospitalised patient
ERR2778807_1	Non-hospitalised person
ERR2778808_1	Hospitalised patient
ERR2778809_1	Hospitalised patient
ERR2778810_1	Hospitalised patient
ERR2778811_1	Hospitalised patient
ERR2778812_1	Hospitalised patient
ERR2778813_1	Hospitalised patient
ERR2778814_1	Hospitalised patient
ERR2778815_1	Other
ERR2778816_1	Other
ERR2778817_1	Hospitalised patient
ERR2778818_1	Hospitalised patient
ERR2778819_1	Hospitalised patient
ERR2778820_1	Hospitalised patient
ERR2778821_1	Hospitalised patient
ERR2778822_1	Hospitalised patient
ERR2778823_1	Hospitalised patient
ERR2778824_1	Hospitalised patient
ERR2778825_1	Hospitalised patient
ERR2778826_1	Hospitalised patient
ERR2778827_1	Other
ERR2778828_1	Hospitalised patient
ERR2778829_1	Hospitalised patient
ERR2778830_1	Hospitalised patient
ERR2778831_1	Hospitalised patient
ERR2778832_1	Non-hospitalised person
ERR2778833_1	Hospitalised patient
ERR2778834_1	Hospitalised patient
ERR2778835_1	Non-hospitalised person
ERR2778836_1	Hospitalised patient
ERR2778837_1	Hospitalised patient
ERR2778838_1	Hospitalised patient
ERR2778839_1	Hospitalised patient
ERR2778840_1	Non-hospitalised person
ERR2778841_1	Other
ERR2778842_1	Other
ERR2778843_1	Hospitalised patient
ERR2778844_1	Non-hospitalised person
ERR2778845_1	Non-hospitalised person
ERR2778846_1	Other
ERR2778847_1	Other
ERR2778848_1	Hospitalised patient
ERR2778849_1	Hospitalised patient
ERR2778850_1	Hospitalised patient
ERR2778851_1	Hospitalised patient
ERR2778852_1	Hospitalised patient
ERR2778853_1	Hospitalised patient
ERR2778854_1	Other
ERR2778855_1	Hospitalised patient
ERR2778856_1	Hospitalised patient
ERR2778857_1	Hospitalised patient
ERR2778858_1	Other
ERR2778859_1	Hospitalised patient
ERR2778860_1	Hospitalised patient
ERR2778861_1	Non-hospitalised person
ERR2778862_1	Other
ERR2778863_1	Hospitalised patient
ERR2778864_1	Non-hospitalised person
ERR2778865_1	Other
ERR2778866_1	Hospitalised patient
ERR2778867_1	Hospitalised patient
ERR2778868_1	Hospitalised patient
ERR2778869_1	Hospitalised patient
ERR2778870_1	Other
ERR2778871_1	Other
ERR2778872_1	Hospitalised patient
ERR2778873_1	Hospitalised patient
ERR2778874_1	Hospitalised patient
ERR2778875_1	Hospitalised patient
ERR2778876_1	Other
ERR2778877_1	Hospitalised patient
ERR2778878_1	Hospitalised patient
ERR2778879_1	Hospitalised patient
ERR2778880_1	Hospitalised patient
ERR2778881_1	Hospitalised patient
ERR2778882_1	Non-hospitalised person
ERR2778883_1	Hospitalised patient
ERR2778884_1	Hospitalised patient
ERR2778885_1	Hospitalised patient
ERR2778886_1	Hospitalised patient
ERR2778887_1	Other
ERR2778888_1	Other
ERR2778889_1	Hospitalised patient
ERR2778890_1	Hospitalised patient
ERR2778891_1	Hospitalised patient
ERR2778892_1	Hospitalised patient
ERR2778893_1	Other
ERR2778894_1	Hospitalised patient
ERR2778895_1	Other
ERR2778896_1	Hospitalised patient
ERR2778897_1	Hospitalised patient
ERR2778898_1	Hospitalised patient
ERR2778899_1	Hospitalised patient
ERR2778900_1	Hospitalised patient
ERR2778901_1	Hospitalised patient
ERR2778902_1	Non-hospitalised person
ERR2778903_1	Non-hospitalised person
ERR2778904_1	Other
ERR2778905_1	Hospitalised patient
ERR2778906_1	Hospitalised patient
ERR2778907_1	Other
ERR2778908_1	Hospitalised patient
ERR2778909_1	Hospitalised patient
ERR2778910_1	Hospitalised patient
ERR2778911_1	Hospitalised patient
ERR2778912_1	Hospitalised patient
ERR2778913_1	Hospitalised patient
ERR2778914_1	Other
ERR2778915_1	Hospitalised patient
ERR2778916_1	Hospitalised patient
ERR2778917_1	Other
ERR2778918_1	Other
ERR2778919_1	Hospitalised patient
ERR2778920_1	Hospitalised patient
ERR2778921_1	Hospitalised patient
ERR2778922_1	Non-hospitalised person
ERR2778923_1	Hospitalised patient
ERR2778924_1	Hospitalised patient
ERR2778925_1	Other
ERR2778926_1	Other
ERR2778927_1	Hospitalised patient
ERR2778928_1	Hospitalised patient
ERR2778929_1	Hospitalised patient
ERR2778930_1	Hospitalised patient
ERR2778931_1	Other
ERR2778932_1	Non-hospitalised person
ERR2778933_1	Other
ERR2778934_1	Hospitalised patient
ERR2778935_1	Hospitalised patient
ERR2778936_1	Hospitalised patient
ERR2778937_1	Other
ERR2778938_1	Hospitalised patient
ERR2778939_1	Non-hospitalised person
ERR2778940_1	Hospitalised patient
ERR2778941_1	Hospitalised patient
ERR2778942_1	Hospitalised patient
ERR2778943_1	Other
ERR2778944_1	Hospitalised patient
ERR2778945_1	Hospitalised patient
ERR2778946_1	Hospitalised patient
ERR2778947_1	Other
ERR2778948_1	Hospitalised patient
ERR2778949_1	Hospitalised patient
ERR2778950_1	Hospitalised patient
ERR2778951_1	Non-hospitalised person
ERR2778952_1	Other
ERR2778953_1	Hospitalised patient
ERR2778954_1	Hospitalised patient
ERR2778955_1	Hospitalised patient
ERR2778956_1	Other
ERR2778957_1	Hospitalised patient
ERR2778958_1	Hospitalised patient
ERR2778959_1	Hospitalised patient
ERR2778960_1	Hospitalised patient
ERR2778961_1	Hospitalised patient
ERR2778962_1	Hospitalised patient
ERR2778963_1	Hospitalised patient
ERR2778964_1	Hospitalised patient
ERR2778965_1	Hospitalised patient
ERR2778966_1	Hospitalised patient
ERR2778967_1	Non-hospitalised person
ERR2778968_1	Hospitalised patient
ERR2778969_1	Hospitalised patient
ERR2778970_1	Hospitalised patient
ERR2778971_1	Other
ERR2778972_1	Hospitalised patient
ERR2778973_1	Hospitalised patient
ERR2778974_1	Hospitalised patient
ERR2778975_1	Hospitalised patient
ERR2778976_1	Other
ERR2778977_1	Hospitalised patient
ERR2778978_1	Hospitalised patient
ERR2778979_1	Hospitalised patient
ERR2778980_1	Hospitalised patient
ERR2778981_1	Hospitalised patient
ERR2778982_1	Hospitalised patient
ERR2778983_1	Hospitalised patient
ERR2778984_1	Hospitalised patient
ERR2778985_1	Hospitalised patient
ERR2778986_1	Hospitalised patient
ERR2778987_1	Other
ERR2778988_1	Hospitalised patient
ERR2778989_1	Hospitalised patient
ERR2778990_1	Non-hospitalised person
ERR2778991_1	Other
ERR2778992_1	Hospitalised patient
ERR2778993_1	Other
ERR2778994_1	Hospitalised patient
ERR2778995_1	Other
ERR2778996_1	Other
ERR2778997_1	Hospitalised patient
ERR2778998_1	Hospitalised patient
ERR2778999_1	Other
ERR2779000_1	Other
ERR2779001_1	Hospitalised patient
ERR2779002_1	Hospitalised patient
ERR2779003_1	Other
ERR2779004_1	Hospitalised patient
ERR2779005_1	Hospitalised patient
ERR2779006_1	Hospitalised patient
ERR2779007_1	Hospitalised patient
ERR2779008_1	Hospitalised patient
ERR2779009_1	Hospitalised patient
ERR2779010_1	Hospitalised patient
ERR2779011_1	Hospitalised patient
ERR2779012_1	Hospitalised patient
ERR2779013_1	Non-hospitalised person
ERR2779014_1	Other
ERR2779015_1	Hospitalised patient
ERR2779016_1	Hospitalised patient
ERR2779017_1	Non-hospitalised person
ERR2779018_1	Other
ERR2779019_1	Hospitalised patient
ERR2779020_1	Hospitalised patient
ERR2779021_1	Hospitalised patient
ERR2779022_1	Hospitalised patient
ERR2779023_1	Hospitalised patient
ERR2779024_1	Hospitalised patient
ERR2779025_1	Hospitalised patient
ERR2779026_1	Hospitalised patient
ERR2779027_1	Hospitalised patient
ERR2779028_1	Hospitalised patient
ERR2779029_1	Hospitalised patient
ERR2779030_1	Hospitalised patient
ERR2779031_1	Hospitalised patient
ERR2779032_1	Hospitalised patient
ERR2779033_1	Other
ERR2779034_1	Hospitalised patient
ERR2779035_1	Other
ERR2779036_1	Hospitalised patient
ERR2779037_1	Other
ERR2779038_1	Hospitalised patient
ERR2779039_1	Hospitalised patient
ERR2779040_1	Hospitalised patient
ERR2779041_1	Hospitalised patient
ERR2779042_1	Hospitalised patient
ERR2779043_1	Hospitalised patient
ERR2779044_1	Other
ERR2779045_1	Other
ERR2779046_1	Non-hospitalised person
ERR2779047_1	Hospitalised patient
ERR2779048_1	Hospitalised patient
ERR2779049_1	Hospitalised patient
ERR2779050_1	Other
ERR2779051_1	Other
ERR2779052_1	Hospitalised patient
ERR2779053_1	Other
ERR2779054_1	Other
ERR2779055_1	Hospitalised patient
ERR2779056_1	Hospitalised patient
ERR2779057_1	Hospitalised patient
ERR2779058_1	Hospitalised patient
ERR2779059_1	Hospitalised patient
ERR2779060_1	Hospitalised patient
ERR2779061_1	Hospitalised patient
ERR2779062_1	Hospitalised patient
ERR2779063_1	Hospitalised patient
ERR2779064_1	Other
ERR2779065_1	Hospitalised patient
ERR2779066_1	Hospitalised patient
ERR2779067_1	Hospitalised patient
ERR2779068_1	Hospitalised patient
ERR2779069_1	Hospitalised patient
ERR2779070_1	Hospitalised patient
ERR2779071_1	Hospitalised patient
ERR2779072_1	Other
ERR2779073_1	Hospitalised patient
ERR2779074_1	Hospitalised patient
ERR2779075_1	Other
ERR2779076_1	Hospitalised patient
ERR2779077_1	Other
ERR2779078_1	Other
ERR2779079_1	Hospitalised patient
ERR2779080_1	Hospitalised patient
ERR2779081_1	Hospitalised patient
ERR2779082_1	Hospitalised patient
ERR2779083_1	Other
ERR2779084_1	Hospitalised patient
ERR2779085_1	Hospitalised patient
ERR2779086_1	Hospitalised patient
ERR2779087_1	Hospitalised patient
ERR2779088_1	Hospitalised patient
ERR2779089_1	Other
ERR2779090_1	Hospitalised patient
ERR2779091_1	Hospitalised patient
ERR2779092_1	Other
ERR2779093_1	Other
ERR2779094_1	Hospitalised patient
ERR2779095_1	Hospitalised patient
ERR2779096_1	Other
ERR2779097_1	Hospitalised patient
ERR2779098_1	Other
ERR2779099_1	Hospitalised patient
ERR2779100_1	Hospitalised patient
